house car land income mate class
2 4 3 66945 1 1
0 3 2 98103 0 0
0 3 1 10268 0 0
3 3 4 -12933 1 3
3 0 0 65643 1 1
4 4 1 48994 0 2
0 0 2 64563 1 1
0 0 2 18348 0 0
4 1 3 25517 1 3
4 0 4 9092 1 3
2 2 0 -45713 0 0
2 2 0 58572 0 0
2 2 3 37870 0 0
1 2 1 2202 1 0
4 3 0 -20284 1 3
2 1 3 -27999 0 0
0 1 1 -42220 1 0
0 2 3 -32546 0 0
4 1 4 12471 1 3
4 3 2 -9732 1 3
2 2 0 36539 0 0
3 2 0 25138 1 1
0 4 4 94348 0 0
1 0 0 -19082 0 0
2 0 2 73216 0 0
4 2 2 51079 0 1
3 2 0 34055 1 1
1 0 0 13510 0 0
3 3 4 16721 0 2
3 3 3 -21403 0 2
2 1 4 19792 1 0
2 3 3 -21979 0 0
3 0 0 -8114 0 1
2 1 4 82430 1 1
4 2 2 -49243 1 1
4 0 1 -14972 1 1
4 3 2 57714 1 3
4 1 3 51884 0 2
3 2 1 79780 1 1
2 3 0 -41877 0 0
1 1 4 -25904 1 0
1 2 4 63637 1 1
0 0 4 61231 1 1
0 4 0 8720 1 0
4 2 4 45543 1 3
1 4 4 59789 0 0
1 1 3 54570 0 0
1 2 3 19361 1 0
3 2 2 6052 1 1
4 2 1 -48494 0 1
0 0 0 48598 1 1
1 2 2 -6654 1 0
3 2 2 -606 0 1
3 4 0 14886 1 3
2 0 4 -47152 0 0
4 3 2 86202 0 2
3 4 3 -22642 0 2
1 4 4 95447 0 0
2 0 1 33954 0 0
2 4 2 86991 1 1
3 2 0 72025 0 1
1 2 2 12282 0 0
1 0 4 32069 1 0
4 3 2 86811 0 2
3 3 1 62597 1 3
4 2 0 63222 1 1
0 2 4 59329 0 0
3 2 2 33091 0 1
4 0 3 -5897 0 2
4 3 2 -23512 0 2
3 4 1 -37607 1 3
3 4 0 65177 0 2
3 1 0 75639 0 1
1 4 3 -1037 1 0
1 2 3 22427 0 0
4 3 1 -39122 0 2
2 0 4 1030 1 0
2 4 2 44628 1 1
4 0 3 54213 0 2
1 3 0 83320 0 0
1 1 1 72997 1 1
1 4 1 -9537 0 0
2 4 0 49716 1 1
0 4 4 69784 0 0
2 1 3 6357 0 0
4 3 2 58416 1 3
4 3 3 -33811 0 2
3 0 2 22703 1 1
3 3 2 38776 1 3
3 3 4 34702 0 2
4 0 2 -4520 1 1
4 0 3 54122 1 3
1 0 1 1103 0 0
1 1 4 -18069 0 0
2 2 0 91069 0 0
0 0 1 51530 0 0
2 2 1 50250 1 1
4 4 3 -12153 1 3
1 2 2 58926 0 0
2 2 3 -1509 1 0
3 1 4 44813 0 2
3 3 0 802 0 2
3 4 1 -28872 0 2
4 3 0 52618 1 3
4 0 0 -33025 1 1
3 0 2 -43627 0 1
0 1 2 39950 1 0
1 1 0 31441 1 0
1 2 0 -18792 1 0
2 2 3 -45685 0 0
4 1 3 36247 0 2
2 0 3 28392 0 0
3 4 2 -10946 1 3
4 2 4 58714 0 2
0 4 1 63869 1 1
3 0 2 -23115 0 1
0 2 1 99317 1 1
3 2 2 92589 0 1
2 2 4 -23506 1 0
1 3 2 3393 1 0
4 1 3 40744 1 3
1 1 3 20375 1 0
2 3 2 29054 1 0
3 2 4 -46601 0 2
1 1 1 35725 1 0
1 0 0 -14174 0 0
3 1 2 96273 1 1
0 4 1 -48298 1 0
2 1 1 -20137 0 0
2 2 2 48924 1 1
3 4 0 75239 1 3
3 3 1 -29331 0 2
1 0 4 79746 1 1
1 0 4 45884 1 1
4 0 2 -11965 0 1
2 1 2 43492 1 1
1 0 0 34086 0 0
0 1 2 11427 0 0
3 3 2 -31 0 2
1 2 1 41828 1 1
3 3 4 62161 0 2
0 3 3 88796 0 0
4 4 3 75908 1 3
3 3 1 -31800 1 3
3 1 4 -25093 0 2
2 3 2 53967 0 0
4 4 3 59665 1 3
1 3 2 68732 0 0
3 4 2 -18641 1 3
0 3 4 33525 1 0
0 3 2 -12151 0 0
3 0 0 -11602 1 1
0 1 1 -42267 0 0
0 4 4 -15750 0 0
0 4 2 -40445 0 0
4 2 0 15152 1 1
3 3 3 534 0 2
4 0 1 40117 1 1
4 4 1 28129 1 3
4 2 0 17004 0 1
1 3 1 25015 0 0
0 2 0 68772 0 0
1 2 2 76234 1 1
0 0 3 -25147 1 0
2 2 0 -26028 0 0
4 0 4 6512 1 3
2 4 1 -37558 0 0
1 3 2 71378 1 1
4 4 4 -32335 1 3
2 0 1 91385 0 0
3 0 0 91862 0 1
3 0 4 5794 0 2
2 0 1 -36442 1 0
2 1 1 -49487 0 0
2 4 0 -41709 1 0
4 2 4 82735 0 2
3 2 3 -43696 1 3
1 0 0 75070 1 1
0 0 0 84885 1 1
2 3 1 -8863 1 0
2 0 4 8803 0 0
0 3 2 16731 0 0
0 0 4 -44285 0 0
4 0 3 49076 1 3
2 4 2 64933 0 0
0 1 0 21384 1 0
3 0 0 8163 1 1
3 2 4 21258 0 2
2 3 2 10593 1 0
1 1 2 -39832 0 0
1 0 3 -11461 0 0
4 3 3 90474 1 3
0 1 0 -9177 0 0
3 2 0 -38532 1 1
2 1 0 81529 0 0
2 2 4 -48247 0 0
3 4 0 4932 1 3
0 2 0 -33214 0 0
0 4 3 -46452 0 0
2 1 3 -35547 0 0
4 0 1 38688 1 1
4 4 1 62381 0 2
2 4 0 86083 0 0
2 3 2 -7714 0 0
2 0 0 -36492 0 0
3 0 0 16851 1 1
0 4 4 -45571 1 0
2 4 0 65370 1 1
0 4 3 34515 1 0
0 1 4 -4169 1 0
3 3 2 55305 0 2
1 3 2 -47934 0 0
0 1 4 85110 0 0
0 2 4 90779 1 1
1 1 4 -45339 0 0
2 4 4 -22899 1 0
4 1 3 53096 0 2
2 0 0 7920 1 0
3 1 1 47015 0 1
2 1 0 10193 1 0
2 1 3 -18732 1 0
1 0 3 -21865 1 0
1 3 1 -34231 1 0
2 4 0 61379 0 0
3 4 2 55440 1 3
1 0 2 48119 0 0
3 4 0 12744 1 3
2 0 3 -40660 0 0
2 0 1 93552 0 0
3 1 2 29689 1 1
4 1 4 -24429 1 3
1 2 0 8350 1 0
1 3 3 -22726 0 0
0 4 0 69045 1 1
2 1 3 27330 1 0
1 4 4 2767 1 0
4 4 0 86785 0 2
1 1 0 90948 0 0
3 1 0 76728 1 1
2 4 1 -44902 1 0
2 2 0 39175 0 0
1 0 1 68941 0 0
3 2 1 -24453 1 1
0 0 0 14478 1 0
2 2 3 64692 1 1
0 4 0 87018 1 1
3 0 3 3745 1 3
3 1 2 -49042 1 1
1 1 3 91905 1 1
0 0 0 -8206 0 0
3 2 2 -7934 1 1
1 0 2 -7869 0 0
2 4 4 58396 1 1
2 4 0 -41952 1 0
4 1 3 53607 0 2
3 4 4 36445 0 2
4 0 0 33102 1 1
2 2 3 78905 1 1
3 3 0 -25870 0 2
1 4 0 -3812 1 0
2 4 1 79908 1 1
1 1 1 58510 0 0
4 1 3 73281 1 3
3 3 4 31268 0 2
2 0 2 47627 0 0
3 1 3 -5141 1 3
2 3 1 99717 1 1
4 0 0 24417 0 1
3 3 2 20902 1 3
2 0 2 60934 0 0
3 0 3 52470 1 3
2 3 4 8626 1 0
2 2 1 40613 0 0
2 2 3 -7161 0 0
1 1 4 21199 0 0
1 4 3 73982 1 1
3 1 1 88682 1 1
0 0 4 93741 1 1
1 2 0 -18011 1 0
2 0 1 -34902 1 0
2 2 0 -43091 0 0
1 0 0 11808 0 0
1 0 4 48660 0 0
2 0 4 66443 0 0
0 3 1 -2822 1 0
4 2 3 -30397 1 3
2 2 1 38810 0 0
3 4 2 -11198 0 2
0 2 2 4869 1 0
3 4 4 79786 0 2
3 1 2 81800 1 1
2 3 0 -8021 1 0
0 4 0 38626 0 0
3 4 1 14260 0 2
3 3 0 95372 0 2
0 3 2 9036 0 0
0 3 4 34977 0 0
0 2 1 -23281 1 0
2 3 4 95140 1 1
4 0 0 -33513 1 1
3 3 1 97022 0 2
4 4 2 -14796 1 3
0 1 4 76142 0 0
1 3 3 -5901 0 0
1 0 3 80294 0 0
2 2 0 74248 0 0
2 1 1 25120 1 0
3 2 3 1281 0 2
0 3 2 55534 0 0
4 4 0 113 0 2
2 0 2 40569 0 0
1 3 1 48296 1 1
2 1 3 -34734 0 0
3 3 2 99374 1 3
3 1 2 2366 0 1
2 4 0 -16211 1 0
3 1 3 -8517 1 3
0 2 3 -30351 0 0
0 4 1 -24561 0 0
1 2 0 -38994 1 0
0 2 1 90090 0 0
1 0 3 89660 0 0
3 2 1 76026 1 1
2 0 3 81385 1 1
2 4 4 -44534 1 0
4 1 1 -40922 1 1
4 3 1 65142 0 2
1 1 2 75851 1 1
0 4 1 48078 0 0
1 2 0 24122 0 0
1 4 0 87460 1 1
2 2 4 54242 0 0
4 1 0 48293 0 1
3 3 0 40240 0 2
0 1 4 -25315 0 0
2 3 3 -987 0 0
0 0 4 3402 0 0
4 4 4 -10788 0 2
4 4 2 -2068 0 2
1 3 1 7448 1 0
0 1 1 -47597 0 0
2 4 0 16282 0 0
4 1 3 -48332 1 3
2 0 4 14736 1 0
0 4 2 54588 0 0
1 0 3 -30972 0 0
1 1 0 25479 0 0
0 2 3 42011 1 1
4 3 2 30595 0 2
2 1 1 83661 0 0
3 4 0 35 0 2
4 4 4 95240 0 2
4 1 3 -42496 0 2
3 1 1 -29898 1 1
2 1 4 -21902 0 0
3 3 3 32921 0 2
4 3 1 -23180 1 3
4 1 1 76979 1 1
4 0 0 84901 1 1
0 0 1 31582 1 0
1 4 3 54641 0 0
0 0 0 27382 0 0
3 0 2 9162 1 1
4 3 0 27815 0 2
3 0 2 635 0 1
3 3 3 -45309 1 3
2 0 4 -30481 0 0
4 1 4 54172 0 2
0 0 3 43236 0 0
1 4 4 18896 1 0
3 2 3 85052 0 2
0 4 1 99891 0 0
1 1 3 48031 1 1
0 2 0 -22604 1 0
1 0 4 1919 0 0
3 0 1 40209 0 1
4 1 4 84043 0 2
0 2 4 75726 0 0
3 3 3 61218 0 2
0 2 4 21449 0 0
1 2 0 58243 0 0
0 1 4 93752 0 0
4 0 4 936 1 3
0 0 2 -45457 1 0
4 4 0 -49385 1 3
2 1 2 46215 1 1
3 4 4 46014 1 3
1 0 4 -37296 0 0
0 2 4 97155 1 1
4 4 0 -26332 1 3
1 0 2 7919 1 0
4 3 1 -27506 1 3
0 1 4 96228 0 0
2 1 4 21155 1 0
2 0 0 77735 0 0
3 2 2 -15422 1 1
1 4 3 5975 0 0
1 2 1 75488 0 0
4 0 3 59657 0 2
3 1 4 49678 0 2
2 2 4 -129 1 0
3 1 4 92893 0 2
1 1 3 -24616 1 0
1 4 1 66618 1 1
1 1 2 80537 0 0
1 4 0 56727 1 1
1 4 1 -22895 1 0
0 0 3 -42926 1 0
0 0 3 59457 1 1
2 4 1 -30750 0 0
0 4 4 -4407 0 0
2 2 0 10987 0 0
2 3 2 -33258 1 0
0 3 3 53830 0 0
4 1 2 -26564 0 1
0 0 4 -1390 0 0
3 1 4 62344 1 3
0 0 3 88441 1 1
0 4 4 95067 1 1
4 2 3 16692 0 2
0 4 1 -29282 1 0
2 0 1 -29898 0 0
3 2 4 52637 1 3
1 2 3 -2211 0 0
3 4 3 35704 1 3
4 1 4 50090 0 2
2 2 1 66545 0 0
1 2 2 93556 0 0
1 2 1 76959 0 0
0 4 2 -1746 1 0
3 4 3 97982 0 2
4 0 0 -43874 1 1
4 4 2 -33462 1 3
1 2 3 96487 1 1
4 4 2 51109 0 2
1 3 4 25030 1 0
2 0 4 -35737 1 0
1 1 3 -14207 0 0
1 0 0 66311 0 0
1 0 0 64606 1 1
2 3 0 -7957 0 0
2 0 4 66793 1 1
0 4 3 43795 1 1
0 0 4 55336 1 1
2 3 1 92623 1 1
1 4 4 81794 1 1
3 2 0 -37096 0 1
4 3 3 -20111 0 2
4 0 0 47887 1 1
1 1 4 66531 1 1
1 3 2 -46687 1 0
2 2 2 33430 0 0
4 4 1 67682 0 2
1 3 0 79532 1 1
0 1 2 -775 1 0
4 3 0 -43503 0 2
0 2 3 22407 0 0
1 3 0 42466 0 0
4 3 4 39299 0 2
1 1 1 -38017 1 0
2 2 0 70015 1 1
0 3 4 57600 1 1
0 4 2 64364 0 0
1 4 0 21221 1 0
1 4 0 98863 0 0
4 0 2 -40941 0 1
2 4 0 81839 0 0
3 4 2 44628 1 3
2 4 3 60145 0 0
3 3 3 -6766 1 3
4 1 2 -47900 0 1
1 3 2 -31796 0 0
0 3 4 -45036 1 0
3 0 1 38793 1 1
4 4 0 37109 0 2
1 4 4 56655 0 0
4 1 0 4100 1 1
3 4 4 37143 1 3
3 3 1 55408 0 2
3 4 3 -37660 1 3
2 1 0 -9053 1 0
3 0 0 70661 1 1
0 2 1 19568 1 0
3 3 0 53989 0 2
3 0 2 8848 0 1
2 4 1 73986 0 0
3 2 0 76271 0 1
1 4 3 -49100 1 0
2 2 3 70498 0 0
1 4 4 98893 0 0
4 0 1 -23296 0 1
2 2 2 17280 1 0
2 3 0 -26145 0 0
4 3 2 52985 0 2
3 4 3 56160 1 3
4 0 2 -1910 0 1
0 3 3 -24706 0 0
4 0 4 -45617 1 3
2 4 1 16723 0 0
4 1 2 53416 0 1
3 3 2 9591 0 2
3 3 2 62207 1 3
3 3 0 34499 0 2
3 1 2 11274 0 1
3 0 2 80933 0 1
3 4 3 -29580 1 3
1 0 1 -14687 0 0
0 3 4 56644 0 0
3 0 1 -4482 1 1
4 4 3 49635 1 3
4 2 3 -20504 1 3
4 4 1 28130 1 3
4 0 4 -36747 0 2
3 3 3 43265 0 2
3 4 3 -19946 0 2
2 1 2 28889 0 0
0 1 3 45057 0 0
1 0 2 -45573 0 0
4 1 0 42208 1 1
4 0 2 -30411 1 1
2 2 4 30897 1 0
3 0 3 -49256 0 2
2 2 4 40645 0 0
4 2 2 27904 0 1
1 2 1 10384 1 0
4 3 1 -37814 0 2
4 4 1 -43566 1 3
2 4 2 16789 0 0
3 1 0 8444 0 1
2 4 1 -35740 0 0
1 2 0 96836 0 0
1 1 0 49144 0 0
2 4 1 69223 1 1
0 3 3 61276 0 0
3 0 2 -8723 1 1
0 2 0 -8910 0 0
2 4 3 57826 1 1
1 1 0 37551 1 0
0 0 0 -2503 1 0
1 4 1 22380 1 0
2 4 2 73461 0 0
3 4 2 81916 0 2
3 2 3 85921 1 3
4 0 1 3182 0 1
1 1 1 -35951 1 0
4 3 1 67076 1 3
2 4 4 -17080 0 0
4 1 2 36303 0 1
0 2 0 -27683 0 0
2 0 4 82998 0 0
4 4 4 -46412 0 2
4 3 4 85975 0 2
2 1 3 46413 0 0
1 0 2 -16829 0 0
4 0 1 77335 0 1
0 4 2 -38587 0 0
1 3 4 -46903 0 0
3 3 3 84430 0 2
1 4 0 82519 1 1
3 2 4 -27041 1 3
2 1 2 -18666 1 0
0 0 0 57922 0 0
4 2 4 -226 0 2
0 4 1 -46984 0 0
3 3 2 26373 1 3
1 3 1 -49128 1 0
3 4 3 59651 1 3
4 1 1 4585 1 1
2 0 1 91529 1 1
2 4 1 62334 1 1
1 2 1 88750 1 1
4 4 0 80304 1 3
3 3 0 -25353 1 3
2 0 1 60249 1 1
1 2 3 32457 0 0
1 3 1 -16271 1 0
0 2 0 23103 1 0
3 2 4 24330 0 2
4 1 2 -17704 1 1
4 0 3 95992 1 3
1 4 1 91015 1 1
0 1 3 -2005 0 0
1 0 0 58325 1 1
3 3 2 89619 0 2
0 1 3 48249 1 1
2 0 0 -28223 1 0
0 4 4 90423 0 0
1 0 4 22031 0 0
0 0 3 -24346 0 0
1 2 4 47769 0 0
2 3 2 82876 0 0
2 3 4 72750 1 1
4 2 4 23861 0 2
1 0 4 49886 0 0
0 3 0 -6565 1 0
0 1 2 68001 0 0
1 4 0 26290 1 0
2 4 0 -12108 0 0
0 1 1 30668 1 0
3 3 1 72954 1 3
3 3 4 -43303 1 3
4 1 2 31717 1 1
3 2 4 73608 0 2
4 0 1 94256 0 1
1 3 1 -9592 0 0
1 3 1 3754 0 0
2 2 2 85953 1 1
3 1 2 47983 1 1
1 0 2 26484 0 0
2 2 2 -46996 0 0
3 1 4 34037 0 2
3 1 1 -29177 1 1
0 0 3 36895 0 0
0 1 3 -4624 1 0
3 4 4 89725 0 2
0 3 0 -41772 1 0
0 3 2 11556 0 0
0 4 0 29504 0 0
2 0 1 -42147 1 0
0 3 0 65159 0 0
4 2 1 43844 1 1
0 2 1 55930 1 1
0 1 2 47244 1 1
1 0 4 -29108 1 0
3 3 2 38114 1 3
3 2 2 56835 1 1
3 2 2 -20883 1 1
2 2 2 11729 1 0
0 1 2 5379 0 0
4 4 0 55662 0 2
4 2 1 -21750 1 1
3 0 2 -32117 1 1
4 4 4 447 1 3
2 1 3 74610 1 1
2 1 1 83469 0 0
0 0 4 63601 0 0
0 4 4 -36653 1 0
4 4 4 59539 1 3
2 4 3 87035 0 0
0 2 1 94510 0 0
0 2 0 30214 1 0
1 1 0 84876 1 1
1 1 0 83325 1 1
4 2 2 9528 0 1
1 0 3 -3000 0 0
4 3 4 -3584 0 2
1 3 4 52918 1 1
1 1 2 -9747 0 0
1 0 0 97948 0 0
3 3 2 -24755 0 2
0 2 0 64409 0 0
3 3 2 37813 1 3
2 1 1 -17662 1 0
1 0 1 -37189 1 0
0 2 3 51715 0 0
3 2 1 -39057 0 1
4 4 2 82251 0 2
3 0 2 -46566 1 1
0 2 1 18089 0 0
0 4 4 -25302 1 0
4 4 1 19307 1 3
1 3 1 49627 0 0
1 1 4 17438 1 0
1 1 4 -19488 0 0
0 3 3 -25976 1 0
4 3 4 55641 1 3
1 1 3 78040 1 1
4 3 1 22952 0 2
2 0 3 -14349 1 0
1 0 2 36737 0 0
1 1 4 63320 1 1
2 2 0 -22248 0 0
0 1 4 48925 0 0
4 4 2 -32775 1 3
0 4 2 97391 0 0
2 1 2 82319 0 0
4 4 1 47755 1 3
3 2 3 93018 1 3
4 0 0 -32565 0 1
1 2 3 89904 1 1
4 4 3 16425 1 3
4 0 2 -38223 1 1
3 2 4 59241 1 3
0 1 3 25657 1 0
1 4 0 47363 1 1
3 3 2 -22156 0 2
4 2 0 -4334 1 1
0 0 2 -31187 0 0
1 1 1 22838 1 0
